"","X","Stay.at.Home.Order","Mandatory.Quarantine.for.Travelers","Non.Essential.Business.Closures","Large.Gatherings.Ban","School.Closures","Restaurant.Limits","Primary.Election.Postponement","Version","Face.Covering.Requirement"
"1599","Illinois","","","","Effective","","","","2020_03_18",NA
"1600","Illinois","","","","","Effective","","","2020_03_17",NA
"1601","Illinois","","","","","","Effective","","2020_03_16",NA
"1602","Illinois","","","","","","","","2020_03_09",NA
"1603","Indiana","Effective","","Effective","Effective","","","","2020_03_24",NA
"1604","Indiana","","","","","Effective","","","2020_03_19",NA
"1605","Indiana","","","","","","Effective","","2020_03_16",NA
"1606","Indiana","","","","","","","Postponed","Postponed",NA
"1607","Indiana","","","","","","","","2020_03_06",NA
"1608","Iowa","","","Effective","","","","","2020_03_26",NA
"1609","Iowa","","","","Effective","","Effective","","2020_03_17",NA
"1610","Iowa","","","","","Effective","","","2020_04_02",NA
"1611","Iowa","","","","","","","","2020_03_09",NA
"1612","Kansas","Effective","","Effective","","","Effective","","2020_03_30",NA
"1613","Kansas","","Effective","","","","","","2020_03_18",NA
"1614","Kansas","","","","Effective","","","","2020_03_25",NA
"1615","Kansas","","","","","Effective","","","2020_03_17",NA
"1616","Kansas","","","","","","","","2020_03_12",NA
"1617","Kentucky","","Effective","","","","","","2020_03_30",NA
"1618","Kentucky","","","Effective","","","","","2020_03_23",NA
"1619","Kentucky","","","","Effective","","","","2020_03_19",NA
"1620","Kentucky","","","","","Effective","Effective","","2020_03_16",NA
"1621","Kentucky","","","","","","","Postponed","Postponed",NA
"1622","Kentucky","","","","","","","","2020_03_06",NA
"1623","Louisiana","Effective","","Effective","Effective","","","","2020_03_23",NA
"1624","Louisiana","","","","","Effective","","","2020_03_16",NA
"1625","Louisiana","","","","","","Effective","","2020_03_17",NA
"1626","Louisiana","","","","","","","Postponed","Postponed",NA
"1627","Louisiana","","","","","","","","2020_03_11",NA
"1628","Maine","Effective","","","","","","","2020_04_01",NA
"1629","Maine","","Effective","","","","","","2020_04_03",NA
"1630","Maine","","","Effective","","","","","2020_03_25",NA
"1631","Maine","","","","Effective","","Effective","","2020_03_18",NA
"1632","Maine","","","","","Effective","","","2020_04_02",NA
"1633","Maine","","","","","","","Postponed","Postponed",NA
"1634","Maine","","","","","","","","2020_03_15",NA
"1635","Maryland","Effective","Effective","","","","","","2020_03_30",NA
"1636","Maryland","","","Effective","","","","","2020_03_23",NA
"1637","Maryland","","","","Effective","","","","2020_03_19",NA
"1638","Maryland","","","","","Effective","Effective","","2020_03_16",NA
"1639","Maryland","","","","","","","Postponed","Postponed",NA
"1640","Maryland","","","","","","","","2020_03_05",NA
"1641","Massachusetts","","Effective","","","","","","2020_03_27",NA
"1642","Massachusetts","","","Effective","","","","","2020_03_24",NA
"1643","Massachusetts","","","","Effective","","Effective","","2020_03_17",NA
"1644","Massachusetts","","","","","Effective","","","2020_03_16",NA
"1645","Massachusetts","","","","","","","","2020_03_10",NA
"1646","Michigan","Effective","","Effective","Effective","","","","2020_03_24",NA
"1647","Michigan","","","","","Effective","Effective","","2020_03_16",NA
"1648","Michigan","","","","","","","","2020_03_10",NA
"1649","Minnesota","Effective","","Effective","","","","","2020_03_27",NA
"1650","Minnesota","","","","Effective","","Effective","","2020_05_17",NA
"1651","Minnesota","","","","","Effective","","","2020_03_18",NA
"1652","Minnesota","","","","","","","","2020_03_13",NA
"1653","Mississippi","Effective","","Effective","","","","","2020_04_03",NA
"1654","Mississippi","","","","Effective","","Effective","","2020_03_24",NA
"1655","Mississippi","","","","","Effective","","","2020_03_19",NA
"1656","Mississippi","","","","","","","Postponed","Postponed",NA
"1657","Mississippi","","","","","","","","2020_03_14",NA
"1658","Missouri","Effective","","Effective","","","","","2020_04_06",NA
"1659","Missouri","","","","Effective","","","","2020_03_21",NA
"1660","Missouri","","","","","Effective","","","2020_03_19",NA
"1661","Missouri","","","","","","Effective","","2020_03_23",NA
"1662","Missouri","","","","","","","","2020_03_13",NA
"1663","Montana","Effective","","Effective","","","","","2020_03_28",NA
"1664","Montana","","Effective","","","","","","2020_03_30",NA
"1665","Montana","","","","Effective","","","","2020_03_24",NA
"1666","Montana","","","","","Effective","","","2020_03_16",NA
"1667","Montana","","","","","","Effective","","2020_03_20",NA
"1668","Montana","","","","","","","","2020_03_12",NA
"1669","Nebraska","","Effective","","","","","","2020_03_25",NA
"1670","Nebraska","","","","Effective","","","","2020_04_03",NA
"1671","Nebraska","","","","","Effective","","","2020_04_01",NA
"1672","Nebraska","","","","","","Effective","","2020_03_18",NA
"1673","Nebraska","","","","","","","","2020_03_13",NA
"1674","Nevada","Effective","","","","","","","2020_04_01",NA
"1675","Nevada","","","Effective","","","","","2020_03_20",NA
"1676","Nevada","","","","Effective","","","","2020_03_24",NA
"1677","Nevada","","","","","Effective","","","2020_03_16",NA
"1678","Nevada","","","","","","Effective","","2020_03_17",NA
"1679","Nevada","","","","","","","","2020_03_13",NA
"1680","New Hampshire","Effective","","Effective","","","","","2020_03_27",NA
"1681","New Hampshire","","","","Effective","Effective","Effective","","2020_03_16",NA
"1682","New Hampshire","","","","","","","","2020_03_13",NA
"1683","New Jersey","Effective","","Effective","","","","","2020_03_21",NA
"1684","New Jersey","","Effective","","","","","","2020_06_25",NA
"1685","New Jersey","","","","Effective","","Effective","","2020_03_16",NA
"1686","New Jersey","","","","","Effective","","","2020_03_18",NA
"1687","New Jersey","","","","","","","Postponed","Postponed",NA
"1688","New Jersey","","","","","","","","2020_03_09",NA
"1689","New Mexico","Effective","","Effective","","","","","2020_03_24",NA
"1690","New Mexico","","Effective","","","","","","2020_03_27",NA
"1691","New Mexico","","","","Effective","","Effective","","2020_03_19",NA
"1692","New Mexico","","","","","Effective","","","2020_03_16",NA
"1693","New Mexico","","","","","","","","2020_03_11",NA
"1694","New York","Effective","","Effective","Effective","","","","2020_03_22",NA
"1695","New York","","Effective","","","","","","2020_06_25",NA
"1696","New York","","","","","Effective","","","2020_03_20",NA
"1697","New York","","","","","","Effective","","2020_03_16",NA
"1698","New York","","","","","","","Canceled","Canceled",NA
"1699","New York","","","","","","","","2020_03_07",NA
"1700","North Carolina","Effective","","Effective","","","","","2020_03_30",NA
"1701","North Carolina","","","","Effective","","","","2020_03_25",NA
"1702","North Carolina","","","","","Effective","","","2020_03_16",NA
"1703","North Carolina","","","","","","Effective","","2020_03_17",NA
"1704","North Carolina","","","","","","","","2020_03_10",NA
"1705","North Dakota","","Effective","Effective","","","","","2020_03_28",NA
"1706","North Dakota","","","","","Effective","","","2020_03_16",NA
"1707","North Dakota","","","","","","Effective","","2020_03_20",NA
"1708","North Dakota","","","","","","","","2020_03_13",NA
"1709","Ohio","Effective","","Effective","Effective","","","","2020_03_23",NA
"1710","Ohio","","Effective","","","","","","2020_04_06",NA
"1711","Ohio","","","","","Effective","","","2020_03_16",NA
"1712","Ohio","","","","","","Effective","","2020_03_15",NA
"1713","Ohio","","","","","","","Postponed","Postponed",NA
"1714","Ohio","","","","","","","","2020_03_09",NA
"1715","Oklahoma","","Effective","","","","","","2020_03_29",NA
